Park Name,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,TentCampers,
Acadia National Park ,ACAD,National Park,Northeast ,ME,2015,1,"12,578",600,0,0
Acadia National Park ,ACAD,National Park,Northeast ,ME,2015,2,"10,626",600,0,0
Acadia National Park ,ACAD,National Park,Northeast ,ME,2015,3,"18,062",600,0,0
Acadia National Park ,ACAD,National Park,Northeast ,ME,2015,4,"63,214",600,0,0
Acadia National Park ,ACAD,National Park,Northeast ,ME,2015,5,"187,205","7,500","10,248","1,737"
Acadia National Park ,ACAD,National Park,Northeast ,ME,2015,6,"359,661","7,500","20,187","4,776"
Acadia National Park ,ACAD,National Park,Northeast ,ME,2015,7,"606,597","7,500","36,642","7,992"
Acadia National Park ,ACAD,National Park,Northeast ,ME,2015,8,"666,767","7,500","36,042","7,902"
Acadia National Park ,ACAD,National Park,Northeast ,ME,2015,9,"479,320","7,500","23,814","7,206"
Acadia National Park ,ACAD,National Park,Northeast ,ME,2015,10,"344,362","6,000","8,067","2,481"
Acadia National Park ,ACAD,National Park,Northeast ,ME,2015,11,"48,912",600,0,0
Acadia National Park ,ACAD,National Park,Northeast ,ME,2015,12,"13,880",600,0,0
Acadia National Park ,ACAD,National Park,Northeast ,ME,2016,1,"17,204",600,0,0
Acadia National Park ,ACAD,National Park,Northeast ,ME,2016,2,"16,530",600,0,0
Acadia National Park ,ACAD,National Park,Northeast ,ME,2016,3,"28,121",600,0,0
Acadia National Park ,ACAD,National Park,Northeast ,ME,2016,4,"94,199",600,885,168
Acadia National Park ,ACAD,National Park,Northeast ,ME,2016,5,"217,147","7,500","10,521","1,854"
Acadia National Park ,ACAD,National Park,Northeast ,ME,2016,6,"445,410","7,500","25,488","7,938"
Acadia National Park ,ACAD,National Park,Northeast ,ME,2016,7,"696,854","7,500","39,942","11,757"
Acadia National Park ,ACAD,National Park,Northeast ,ME,2016,8,"735,945","7,500","40,557","11,649"
Acadia National Park ,ACAD,National Park,Northeast ,ME,2016,9,"570,434","7,500","23,148","10,044"
Acadia National Park ,ACAD,National Park,Northeast ,ME,2016,10,"412,416","6,000","12,270","3,219"
Acadia National Park ,ACAD,National Park,Northeast ,ME,2016,11,"55,022",600,0,0
Acadia National Park ,ACAD,National Park,Northeast ,ME,2016,12,"14,111",600,0,0
Acadia National Park ,ACAD,National Park,Northeast ,ME,2017,1,"15,520",600,0,0
Acadia National Park ,ACAD,National Park,Northeast ,ME,2017,2,"14,342",600,0,0
Acadia National Park ,ACAD,National Park,Northeast ,ME,2017,3,"20,936",600,0,0
Acadia National Park ,ACAD,National Park,Northeast ,ME,2017,4,"85,267",600,594,195
Acadia National Park ,ACAD,National Park,Northeast ,ME,2017,5,"222,978","7,500","10,827","3,213"
Acadia National Park ,ACAD,National Park,Northeast ,ME,2017,6,"476,191","7,500","24,372","9,360"
Acadia National Park ,ACAD,National Park,Northeast ,ME,2017,7,"743,529","7,500","39,429","12,642"
Acadia National Park ,ACAD,National Park,Northeast ,ME,2017,8,"762,436","7,500","39,864","11,874"
Acadia National Park ,ACAD,National Park,Northeast ,ME,2017,9,"595,388","7,500","27,054","13,554"
Acadia National Park ,ACAD,National Park,Northeast ,ME,2017,10,"507,594","6,000","10,446","4,974"
Acadia National Park ,ACAD,National Park,Northeast ,ME,2017,11,"53,006",600,0,0
Acadia National Park ,ACAD,National Park,Northeast ,ME,2017,12,"12,084",600,0,0
Arches National Park ,ARCH,National Park,Intermountain ,UT,2015,1,"20,699",0,288,137
Arches National Park ,ARCH,National Park,Intermountain ,UT,2015,2,"34,255",0,842,432
Arches National Park ,ARCH,National Park,Intermountain ,UT,2015,3,"103,649",0,"3,853","1,401"
Arches National Park ,ARCH,National Park,Intermountain ,UT,2015,4,"138,903",0,"3,364","2,157"
Arches National Park ,ARCH,National Park,Intermountain ,UT,2015,5,"179,804",0,"3,745","2,271"
Arches National Park ,ARCH,National Park,Intermountain ,UT,2015,6,"189,073",0,"3,548","1,817"
Arches National Park ,ARCH,National Park,Intermountain ,UT,2015,7,"195,748",0,"2,684","1,588"
Arches National Park ,ARCH,National Park,Intermountain ,UT,2015,8,"173,186",0,"2,692","1,904"
Arches National Park ,ARCH,National Park,Intermountain ,UT,2015,9,"171,711",0,"1,971","1,723"
Arches National Park ,ARCH,National Park,Intermountain ,UT,2015,10,"115,859",0,"2,570","2,026"
Arches National Park ,ARCH,National Park,Intermountain ,UT,2015,11,"49,087",0,"1,282",838
Arches National Park ,ARCH,National Park,Intermountain ,UT,2015,12,"27,273",0,319,271
Arches National Park ,ARCH,National Park,Intermountain ,UT,2016,1,"20,311",0,274,197
Arches National Park ,ARCH,National Park,Intermountain ,UT,2016,2,"33,200",0,850,451
Arches National Park ,ARCH,National Park,Intermountain ,UT,2016,3,"119,122",0,"2,786","1,674"
Arches National Park ,ARCH,National Park,Intermountain ,UT,2016,4,"151,112",0,"3,172","2,157"
Arches National Park ,ARCH,National Park,Intermountain ,UT,2016,5,"201,718",0,"3,632","2,217"
Arches National Park ,ARCH,National Park,Intermountain ,UT,2016,6,"211,706",0,"3,356","1,520"
Arches National Park ,ARCH,National Park,Intermountain ,UT,2016,7,"210,359",0,"2,740","1,709"
Arches National Park ,ARCH,National Park,Intermountain ,UT,2016,8,"188,340",0,"2,946","2,273"
Arches National Park ,ARCH,National Park,Intermountain ,UT,2016,9,"200,906",0,"3,027","2,217"
Arches National Park ,ARCH,National Park,Intermountain ,UT,2016,10,"146,250",0,"2,808","2,150"
Arches National Park ,ARCH,National Park,Intermountain ,UT,2016,11,"69,404",0,"2,047","1,956"
Arches National Park ,ARCH,National Park,Intermountain ,UT,2016,12,"33,290",0,408,137
Arches National Park ,ARCH,National Park,Intermountain ,UT,2017,1,"21,549",0,338,113
Arches National Park ,ARCH,National Park,Intermountain ,UT,2017,2,"38,248",0,886,552
Arches National Park ,ARCH,National Park,Intermountain ,UT,2017,3,"128,508",0,0,0
Arches National Park ,ARCH,National Park,Intermountain ,UT,2017,4,"155,286",0,0,0
Arches National Park ,ARCH,National Park,Intermountain ,UT,2017,5,"188,726",0,0,0
Arches National Park ,ARCH,National Park,Intermountain ,UT,2017,6,"193,060",0,0,0
Arches National Park ,ARCH,National Park,Intermountain ,UT,2017,7,"192,767",0,0,0
Arches National Park ,ARCH,National Park,Intermountain ,UT,2017,8,"177,764",0,0,0
Arches National Park ,ARCH,National Park,Intermountain ,UT,2017,9,"187,603",0,0,0
Arches National Park ,ARCH,National Park,Intermountain ,UT,2017,10,"138,325",0,0,0
Arches National Park ,ARCH,National Park,Intermountain ,UT,2017,11,"72,867",0,0,0
Arches National Park ,ARCH,National Park,Intermountain ,UT,2017,12,"44,325",0,202,161
Badlands National Park,BADL,National Park,Midwest ,SD,2015,1,"10,414","2,979",0,11
Badlands National Park,BADL,National Park,Midwest ,SD,2015,2,"10,942","1,978",11,8
Badlands National Park,BADL,National Park,Midwest ,SD,2015,3,"21,924","2,482",0,0
Badlands National Park,BADL,National Park,Midwest ,SD,2015,4,"27,193","3,070",30,46
Badlands National Park,BADL,National Park,Midwest ,SD,2015,5,"68,239","6,296",338,80
Badlands National Park,BADL,National Park,Midwest ,SD,2015,6,"191,593","8,836",790,220
Badlands National Park,BADL,National Park,Midwest ,SD,2015,7,"245,400","10,198","1,417",42
Badlands National Park,BADL,National Park,Midwest ,SD,2015,8,"231,866","10,898","1,288",198
Badlands National Park,BADL,National Park,Midwest ,SD,2015,9,"117,724","7,330",483,129
Badlands National Park,BADL,National Park,Midwest ,SD,2015,10,"34,498","5,134",190,76
Badlands National Park,BADL,National Park,Midwest ,SD,2015,11,"16,771","3,616",80,46
Badlands National Park,BADL,National Park,Midwest ,SD,2015,12,"12,790","3,094",0,0
Badlands National Park,BADL,National Park,Midwest ,SD,2016,1,"10,826","2,816",0,0
Badlands National Park,BADL,National Park,Midwest ,SD,2016,2,"10,921","3,268",30,0
Badlands National Park,BADL,National Park,Midwest ,SD,2016,3,"20,501","3,940",350,30
Badlands National Park,BADL,National Park,Midwest ,SD,2016,4,"22,812","5,001",255,34
Badlands National Park,BADL,National Park,Midwest ,SD,2016,5,"78,863","7,222",840,42
Badlands National Park,BADL,National Park,Midwest ,SD,2016,6,"196,209","9,220","1,706",251
Badlands National Park,BADL,National Park,Midwest ,SD,2016,7,"249,194","10,110","1,607",228
Badlands National Park,BADL,National Park,Midwest ,SD,2016,8,"217,071","9,332","1,550",334
Badlands National Park,BADL,National Park,Midwest ,SD,2016,9,"129,350","7,568",939,475
Badlands National Park,BADL,National Park,Midwest ,SD,2016,10,"33,380","5,348",475,106
Badlands National Park,BADL,National Park,Midwest ,SD,2016,11,"17,970","3,622",182,0
Badlands National Park,BADL,National Park,Midwest ,SD,2016,12,"9,166","3,274",0,0
Badlands National Park,BADL,National Park,Midwest ,SD,2017,1,"10,380","3,136",6,0
Badlands National Park,BADL,National Park,Midwest ,SD,2017,2,"11,149","2,772",5,0
Badlands National Park,BADL,National Park,Midwest ,SD,2017,3,"21,498","3,932",25,0
Badlands National Park,BADL,National Park,Midwest ,SD,2017,4,"23,166","4,592",73,53
Badlands National Park,BADL,National Park,Midwest ,SD,2017,5,"85,967","6,834",704,162
Badlands National Park,BADL,National Park,Midwest ,SD,2017,6,"213,966","8,738","1,749",170
Badlands National Park,BADL,National Park,Midwest ,SD,2017,7,"263,506","9,216","1,039",158
Badlands National Park,BADL,National Park,Midwest ,SD,2017,8,"237,125","9,160",767,177
Badlands National Park,BADL,National Park,Midwest ,SD,2017,9,"127,598","7,302",380,96
Badlands National Park,BADL,National Park,Midwest ,SD,2017,10,"33,426","5,631",155,35
Badlands National Park,BADL,National Park,Midwest ,SD,2017,11,"16,807","3,942",23,7
Badlands National Park,BADL,National Park,Midwest ,SD,2017,12,"9,737","2,204",4,1
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2015,1,"30,297",197,"5,615","2,901"
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2015,2,"39,199",197,"3,116","5,156"
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2015,3,"68,292",197,"6,632","3,738"
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2015,4,"43,927",197,"8,278","4,555"
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2015,5,"30,707",197,"5,373","1,032"
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2015,6,"16,697",197,"3,896",441
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2015,7,"22,887",197,"3,175",222
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2015,8,"17,562",197,"2,418",113
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2015,9,"16,678",197,"2,548",249
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2015,10,"23,237",197,"4,421",984
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2015,11,"42,687",197,"6,620","2,623"
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2015,12,"29,577",197,"1,871","2,406"
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2016,1,"36,716",197,"5,075","3,755"
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2016,2,"44,176",197,"5,142","6,425"
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2016,3,"54,642",197,"11,453","4,891"
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2016,4,"37,280",197,"8,879","3,786"
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2016,5,"40,935",197,"5,587",838
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2016,6,"18,630",197,"3,824",301
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2016,7,"16,165",197,"3,136",160
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2016,8,"16,144",197,"2,417",269
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2016,9,"18,406",197,"1,306",319
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2016,10,"26,806",197,"2,350",637
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2016,11,"45,443",197,"8,399","2,945"
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2016,12,"32,947",197,"7,025","3,059"
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2017,1,"35,105",197,"6,785","6,226"
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2017,2,"41,670",197,"5,481","7,268"
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2017,3,"74,735",197,"9,325","6,005"
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2017,4,"49,609",197,"7,732","3,511"
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2017,5,"37,045",197,"5,620",810
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2017,6,"23,500",197,"2,789",401
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2017,7,"20,599",197,"2,895",868
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2017,8,"16,382",197,"2,640",336
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2017,9,"19,734",197,"2,955",398
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2017,10,"35,094",197,"4,415",648
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2017,11,"45,739",197,"7,992","3,474"
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2017,12,"41,064",197,"6,817","3,584"
Biscayne National Park,BISC,National Park,Southeast ,FL,2015,1,"34,409",0,366,0
Biscayne National Park,BISC,National Park,Southeast ,FL,2015,2,"29,061",0,328,0
Biscayne National Park,BISC,National Park,Southeast ,FL,2015,3,"49,590",0,390,0
Biscayne National Park,BISC,National Park,Southeast ,FL,2015,4,"54,897",0,284,0
Biscayne National Park,BISC,National Park,Southeast ,FL,2015,5,"57,450",0,0,0
Biscayne National Park,BISC,National Park,Southeast ,FL,2015,6,"51,499",0,82,0
Biscayne National Park,BISC,National Park,Southeast ,FL,2015,7,"59,061",0,92,0
Biscayne National Park,BISC,National Park,Southeast ,FL,2015,8,"53,480",0,42,0
Biscayne National Park,BISC,National Park,Southeast ,FL,2015,9,"40,551",0,42,0
Biscayne National Park,BISC,National Park,Southeast ,FL,2015,10,"27,634",0,46,0
Biscayne National Park,BISC,National Park,Southeast ,FL,2015,11,"25,228",0,34,0
Biscayne National Park,BISC,National Park,Southeast ,FL,2015,12,"25,304",0,154,0
Biscayne National Park,BISC,National Park,Southeast ,FL,2016,1,"35,755",0,206,0
Biscayne National Park,BISC,National Park,Southeast ,FL,2016,2,"30,663",0,446,0
Biscayne National Park,BISC,National Park,Southeast ,FL,2016,3,"43,331",0,278,0
Biscayne National Park,BISC,National Park,Southeast ,FL,2016,4,"50,964",0,288,0
Biscayne National Park,BISC,National Park,Southeast ,FL,2016,5,"61,050",0,36,0
Biscayne National Park,BISC,National Park,Southeast ,FL,2016,6,"43,964",0,52,0
Biscayne National Park,BISC,National Park,Southeast ,FL,2016,7,"70,830",0,88,0
Biscayne National Park,BISC,National Park,Southeast ,FL,2016,8,"46,961",0,46,0
Biscayne National Park,BISC,National Park,Southeast ,FL,2016,9,"44,645",0,54,0
Biscayne National Park,BISC,National Park,Southeast ,FL,2016,10,"24,114",0,58,0
Biscayne National Park,BISC,National Park,Southeast ,FL,2016,11,"33,694",0,672,0
Biscayne National Park,BISC,National Park,Southeast ,FL,2016,12,"28,738",0,298,0
Biscayne National Park,BISC,National Park,Southeast ,FL,2017,1,"30,661",0,308,0
Biscayne National Park,BISC,National Park,Southeast ,FL,2017,2,"34,689",0,562,0
Biscayne National Park,BISC,National Park,Southeast ,FL,2017,3,"36,433",0,454,0
Biscayne National Park,BISC,National Park,Southeast ,FL,2017,4,"41,287",0,296,0
Biscayne National Park,BISC,National Park,Southeast ,FL,2017,5,"55,595",0,106,0
Biscayne National Park,BISC,National Park,Southeast ,FL,2017,6,"46,085",0,38,0
Biscayne National Park,BISC,National Park,Southeast ,FL,2017,7,"65,142",0,82,0
Biscayne National Park,BISC,National Park,Southeast ,FL,2017,8,"41,633",0,48,0
Biscayne National Park,BISC,National Park,Southeast ,FL,2017,9,"6,230",0,0,0
Biscayne National Park,BISC,National Park,Southeast ,FL,2017,10,"19,456",0,28,0
Biscayne National Park,BISC,National Park,Southeast ,FL,2017,11,"34,442",0,264,0
Biscayne National Park,BISC,National Park,Southeast ,FL,2017,12,"35,308",0,266,0
Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain ,CO,2015,1,"4,600",0,8,0
Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain ,CO,2015,2,"4,136",0,15,7
Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain ,CO,2015,3,"5,968",0,55,20
Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain ,CO,2015,4,"8,896",0,377,145
Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain ,CO,2015,5,"23,176",0,"1,121",879
Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain ,CO,2015,6,"33,141",0,"1,948","1,575"
Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain ,CO,2015,7,"45,328",0,"2,970","2,682"
Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain ,CO,2015,8,"27,197",0,"2,276","1,720"
Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain ,CO,2015,9,"29,878",0,"1,958",917
Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain ,CO,2015,10,"16,626",0,"1,585",638
Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain ,CO,2015,11,"5,550",0,166,36
Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain ,CO,2015,12,"4,670",0,11,0
Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain ,CO,2016,1,"5,510",0,19,3
Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain ,CO,2016,2,"3,932",0,20,0
Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain ,CO,2016,3,"2,850",0,57,11
Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain ,CO,2016,4,"9,871",0,545,110
Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain ,CO,2016,5,"28,055",0,"2,758","1,556"
Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain ,CO,2016,6,"34,433",0,"2,780","1,899"
Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain ,CO,2016,7,"47,029",0,"4,197","2,429"
Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain ,CO,2016,8,"34,384",0,"3,856","2,162"
Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain ,CO,2016,9,"38,169",0,"1,930","1,819"
Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain ,CO,2016,10,"19,113",0,"2,299","1,326"
Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain ,CO,2016,11,"8,955",0,584,557
Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain ,CO,2016,12,"5,717",0,25,6
Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain ,CO,2017,1,"6,925",0,19,8
Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain ,CO,2017,2,"3,361",0,24,7
Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain ,CO,2017,3,"7,147",0,217,35
Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain ,CO,2017,4,"11,292",0,804,307
Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain ,CO,2017,5,"29,218",0,"2,290","1,602"
Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain ,CO,2017,6,"40,616",0,"3,895","2,309"
Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain ,CO,2017,7,"44,532",0,"3,868","2,549"
Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain ,CO,2017,8,"40,788",0,"3,205","2,017"
Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain ,CO,2017,9,"45,983",0,"2,776","2,741"
Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain ,CO,2017,10,"54,766",0,"1,367",493
Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain ,CO,2017,11,"19,473",0,277,136
Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain ,CO,2017,12,"3,042",0,53,53
Bryce Canyon National Park,BRCA,National Park,Intermountain ,UT,2015,1,"21,949","21,000",86,182
Bryce Canyon National Park,BRCA,National Park,Intermountain ,UT,2015,2,"30,090","18,200",168,262
Bryce Canyon National Park,BRCA,National Park,Intermountain ,UT,2015,3,"63,170","27,000",847,"1,080"
Bryce Canyon National Park,BRCA,National Park,Intermountain ,UT,2015,4,"123,978","33,161","2,532","2,112"
Bryce Canyon National Park,BRCA,National Park,Intermountain ,UT,2015,5,"197,742","51,000","6,331","6,518"
Bryce Canyon National Park,BRCA,National Park,Intermountain ,UT,2015,6,"305,465","57,000","6,600","9,453"
Bryce Canyon National Park,BRCA,National Park,Intermountain ,UT,2015,7,"265,809","56,183","5,238","11,586"
Bryce Canyon National Park,BRCA,National Park,Intermountain ,UT,2015,8,"248,654","54,202","5,091","12,237"
Bryce Canyon National Park,BRCA,National Park,Intermountain ,UT,2015,9,"252,839","45,856","6,360","10,590"
Bryce Canyon National Park,BRCA,National Park,Intermountain ,UT,2015,10,"152,995","25,750","2,770","2,338"
Bryce Canyon National Park,BRCA,National Park,Intermountain ,UT,2015,11,"48,745","15,697",430,290
Bryce Canyon National Park,BRCA,National Park,Intermountain ,UT,2015,12,"34,368","13,986",79,10
Bryce Canyon National Park,BRCA,National Park,Intermountain ,UT,2016,1,"24,285","21,598",175,89
Bryce Canyon National Park,BRCA,National Park,Intermountain ,UT,2016,2,"34,330","18,435",218,139
Bryce Canyon National Park,BRCA,National Park,Intermountain ,UT,2016,3,"92,080","27,518","1,836","1,116"
Bryce Canyon National Park,BRCA,National Park,Intermountain ,UT,2016,4,"137,698","34,514","2,230","3,814"
Bryce Canyon National Park,BRCA,National Park,Intermountain ,UT,2016,5,"292,369","52,586","5,306","7,454"
Bryce Canyon National Park,BRCA,National Park,Intermountain ,UT,2016,6,"380,354","60,153","6,726","12,168"
Bryce Canyon National Park,BRCA,National Park,Intermountain ,UT,2016,7,"384,390","55,715","4,491","11,988"
Bryce Canyon National Park,BRCA,National Park,Intermountain ,UT,2016,8,"365,738","54,802","4,398","10,872"
Bryce Canyon National Park,BRCA,National Park,Intermountain ,UT,2016,9,"366,702","46,060","6,129","10,131"
Bryce Canyon National Park,BRCA,National Park,Intermountain ,UT,2016,10,"180,925","25,824","5,702","3,941"
Bryce Canyon National Park,BRCA,National Park,Intermountain ,UT,2016,11,"67,714","16,028",626,946
Bryce Canyon National Park,BRCA,National Park,Intermountain ,UT,2016,12,"38,525","14,114",355,110
Bryce Canyon National Park,BRCA,National Park,Intermountain ,UT,2017,1,"27,774","21,000",26,252
Bryce Canyon National Park,BRCA,National Park,Intermountain ,UT,2017,2,"32,979","18,606",74,300
Bryce Canyon National Park,BRCA,National Park,Intermountain ,UT,2017,3,"82,110","27,919",922,"1,260"
Bryce Canyon National Park,BRCA,National Park,Intermountain ,UT,2017,4,"153,242","34,030","2,724","3,509"
Bryce Canyon National Park,BRCA,National Park,Intermountain ,UT,2017,5,"330,743","51,991","4,814","7,262"
Bryce Canyon National Park,BRCA,National Park,Intermountain ,UT,2017,6,"376,786","59,145","5,982","10,068"
Bryce Canyon National Park,BRCA,National Park,Intermountain ,UT,2017,7,"416,608","55,145","4,212","11,355"
Bryce Canyon National Park,BRCA,National Park,Intermountain ,UT,2017,8,"403,964","53,353","4,215","11,250"
Bryce Canyon National Park,BRCA,National Park,Intermountain ,UT,2017,9,"380,586","44,590","6,216","10,284"
Bryce Canyon National Park,BRCA,National Park,Intermountain ,UT,2017,10,"243,118","25,205","3,182","4,140"
Bryce Canyon National Park,BRCA,National Park,Intermountain ,UT,2017,11,"74,761","15,654",787,"1,310"
Bryce Canyon National Park,BRCA,National Park,Intermountain ,UT,2017,12,"49,013","13,902",338,396
Canyonlands National Park,CANY,National Park,Intermountain ,UT,2015,1,"6,376",0,147,64
Canyonlands National Park,CANY,National Park,Intermountain ,UT,2015,2,"10,550",0,283,176
Canyonlands National Park,CANY,National Park,Intermountain ,UT,2015,3,"47,529",0,"1,315",469
Canyonlands National Park,CANY,National Park,Intermountain ,UT,2015,4,"73,625",0,"1,854","1,172"
Canyonlands National Park,CANY,National Park,Intermountain ,UT,2015,5,"91,284",0,"1,879","1,344"
Canyonlands National Park,CANY,National Park,Intermountain ,UT,2015,6,"75,578",0,"1,457",926
Canyonlands National Park,CANY,National Park,Intermountain ,UT,2015,7,"69,008",0,"1,116",392
Canyonlands National Park,CANY,National Park,Intermountain ,UT,2015,8,"76,100",0,"1,292",468
Canyonlands National Park,CANY,National Park,Intermountain ,UT,2015,9,"82,163",0,"1,619","1,213"
Canyonlands National Park,CANY,National Park,Intermountain ,UT,2015,10,"69,966",0,"1,833","1,695"
Canyonlands National Park,CANY,National Park,Intermountain ,UT,2015,11,"22,100",0,614,503
Canyonlands National Park,CANY,National Park,Intermountain ,UT,2015,12,"10,328",0,229,48
Canyonlands National Park,CANY,National Park,Intermountain ,UT,2016,1,"5,050",0,147,31
Canyonlands National Park,CANY,National Park,Intermountain ,UT,2016,2,"14,360",0,288,176
Canyonlands National Park,CANY,National Park,Intermountain ,UT,2016,3,"47,993",0,"1,528",674
Canyonlands National Park,CANY,National Park,Intermountain ,UT,2016,4,"97,038",0,"1,846","1,198"
Canyonlands National Park,CANY,National Park,Intermountain ,UT,2016,5,"128,507",0,"1,929","1,170"
Canyonlands National Park,CANY,National Park,Intermountain ,UT,2016,6,"111,544",0,"1,334",842
Canyonlands National Park,CANY,National Park,Intermountain ,UT,2016,7,"77,543",0,789,378
Canyonlands National Park,CANY,National Park,Intermountain ,UT,2016,8,"72,813",0,"1,292",477
Canyonlands National Park,CANY,National Park,Intermountain ,UT,2016,9,"94,864",0,"1,681","1,225"
Canyonlands National Park,CANY,National Park,Intermountain ,UT,2016,10,"82,181",0,"1,769","1,194"
Canyonlands National Park,CANY,National Park,Intermountain ,UT,2016,11,"29,856",0,758,772
Canyonlands National Park,CANY,National Park,Intermountain ,UT,2016,12,"14,469",0,152,151
Canyonlands National Park,CANY,National Park,Intermountain ,UT,2017,1,"7,434",0,102,100
Canyonlands National Park,CANY,National Park,Intermountain ,UT,2017,2,"18,698",0,230,289
Canyonlands National Park,CANY,National Park,Intermountain ,UT,2017,3,"65,115",0,"1,435",777
Canyonlands National Park,CANY,National Park,Intermountain ,UT,2017,4,"82,159",0,"1,801","1,046"
Canyonlands National Park,CANY,National Park,Intermountain ,UT,2017,5,"107,756",0,"1,604","1,039"
Canyonlands National Park,CANY,National Park,Intermountain ,UT,2017,6,"87,253",0,"1,628","1,052"
Canyonlands National Park,CANY,National Park,Intermountain ,UT,2017,7,"75,465",0,"1,066",409
Canyonlands National Park,CANY,National Park,Intermountain ,UT,2017,8,"78,510",0,"1,390",499
Canyonlands National Park,CANY,National Park,Intermountain ,UT,2017,9,"91,372",0,"1,790",967
Canyonlands National Park,CANY,National Park,Intermountain ,UT,2017,10,"81,386",0,"1,587","1,393"
Canyonlands National Park,CANY,National Park,Intermountain ,UT,2017,11,"33,138",0,756,722
Canyonlands National Park,CANY,National Park,Intermountain ,UT,2017,12,"13,985",0,176,226
Capitol Reef National Park ,CARE,National Park,Intermountain ,UT,2015,1,"9,083","2,446",46,55
Capitol Reef National Park ,CARE,National Park,Intermountain ,UT,2015,2,"15,187","1,923",199,130
Capitol Reef National Park ,CARE,National Park,Intermountain ,UT,2015,3,"49,126","1,749","1,752","1,344"
Capitol Reef National Park ,CARE,National Park,Intermountain ,UT,2015,4,"84,453","3,900","1,847","3,535"
Capitol Reef National Park ,CARE,National Park,Intermountain ,UT,2015,5,"131,165","5,766","1,962","2,657"
